date,org,repo,workflow,time_taken_total,time_taken_q25,time_taken_q50,time_taken_q75
2022-01-07,PyCQA,isort,Integration,430,215.0,215.0,215.0
2022-01-07,PyCQA,isort,Lint,294,147.0,147.0,147.0
2022-01-07,PyCQA,isort,Test,666,333.0,333.0,333.0
2021-11-19,PyCQA,isort,Integration,582,291.0,291.0,291.0
2021-11-19,PyCQA,isort,Lint,550,275.0,275.0,275.0
2021-11-19,PyCQA,isort,Test,800,400.0,400.0,400.0
2022-01-20,PyCQA,isort,Integration,0,0.0,0.0,0.0
2022-01-20,PyCQA,isort,Lint,0,0.0,0.0,0.0
2022-01-20,PyCQA,isort,Test,0,0.0,0.0,0.0
2021-11-25,PyCQA,isort,Integration,868,199.0,217.0,235.0
2021-11-25,PyCQA,isort,Lint,1416,140.0,354.0,568.0
2021-11-25,PyCQA,isort,Test,2248,410.0,562.0,714.0
2022-02-19,PyCQA,isort,Integration,0,0.0,0.0,0.0
2022-02-19,PyCQA,isort,Lint,0,0.0,0.0,0.0
2022-02-19,PyCQA,isort,Test,0,0.0,0.0,0.0
2021-11-20,PyCQA,isort,Integration,430,215.0,215.0,215.0
2021-11-20,PyCQA,isort,Lint,290,145.0,145.0,145.0
2021-11-20,PyCQA,isort,Test,748,374.0,374.0,374.0
2021-11-24,PyCQA,isort,Integration,0,0.0,0.0,0.0
2021-11-24,PyCQA,isort,Lint,0,0.0,0.0,0.0
2021-11-24,PyCQA,isort,Test,0,0.0,0.0,0.0
2022-01-21,PyCQA,isort,Integration,1662,327.0,415.5,504.0
2022-01-21,PyCQA,isort,Lint,760,147.0,190.0,233.0
2022-01-21,PyCQA,isort,Test,2388,326.0,597.0,868.0
2021-11-17,PyCQA,isort,Integration,680,340.0,340.0,340.0
2021-11-17,PyCQA,isort,Lint,534,267.0,267.0,267.0
2021-11-17,PyCQA,isort,Test,544,272.0,272.0,272.0
2021-11-18,PyCQA,isort,Integration,412,206.0,206.0,206.0
2021-11-18,PyCQA,isort,Lint,546,273.0,273.0,273.0
2021-11-18,PyCQA,isort,Test,594,297.0,297.0,297.0
2022-01-05,PyCQA,isort,Integration,0,0.0,0.0,0.0
2022-01-05,PyCQA,isort,Lint,0,0.0,0.0,0.0
2022-01-05,PyCQA,isort,Test,0,0.0,0.0,0.0
2021-11-22,PyCQA,isort,Integration,492,246.0,246.0,246.0
2021-11-22,PyCQA,isort,Lint,268,134.0,134.0,134.0
2021-11-22,PyCQA,isort,Test,934,467.0,467.0,467.0
2021-12-06,PyCQA,isort,Integration,430,215.0,215.0,215.0
2021-12-06,PyCQA,isort,Lint,302,151.0,151.0,151.0
2021-12-06,PyCQA,isort,Test,886,443.0,443.0,443.0
2021-11-26,PyCQA,isort,Integration,408,204.0,204.0,204.0
2021-11-26,PyCQA,isort,Lint,252,126.0,126.0,126.0
2021-11-26,PyCQA,isort,Test,832,416.0,416.0,416.0
2021-12-29,PyCQA,isort,Integration,2912,270.0,277.0,300.0
2021-12-29,PyCQA,isort,Lint,1662,131.0,155.0,213.0
2021-12-29,PyCQA,isort,Test,4088,353.0,368.0,374.0
2021-11-21,PyCQA,isort,Integration,406,203.0,203.0,203.0
2021-11-21,PyCQA,isort,Lint,526,263.0,263.0,263.0
2021-11-21,PyCQA,isort,Test,772,386.0,386.0,386.0
2021-12-30,PyCQA,isort,Integration,3912,244.0,978.0,1712.0
2021-12-30,PyCQA,isort,Lint,798,142.0,199.5,257.0
2021-12-30,PyCQA,isort,Test,1150,279.0,287.5,296.0
2021-11-23,PyCQA,isort,Integration,3176,229.0,243.0,281.0
2021-11-23,PyCQA,isort,Lint,2788,154.0,212.5,298.0
2021-11-23,PyCQA,isort,Test,6584,402.0,406.5,437.0
2021-12-01,PyCQA,isort,Integration,498,0.0,124.5,249.0
2021-12-01,PyCQA,isort,Lint,326,0.0,81.5,163.0
2021-12-01,PyCQA,isort,Test,906,0.0,226.5,453.0
2022-02-16,PyCQA,isort,Integration,0,0.0,0.0,0.0
2022-02-16,PyCQA,isort,Lint,0,0.0,0.0,0.0
2022-02-16,PyCQA,isort,Test,0,0.0,0.0,0.0
2021-12-04,PyCQA,isort,Integration,64776,228.0,16194.0,32160.0
2021-12-04,PyCQA,isort,Lint,64516,152.0,16129.0,32106.0
2021-12-04,PyCQA,isort,Test,65024,379.0,16256.0,32133.0
2022-02-03,PyCQA,isort,Integration,0,0.0,0.0,0.0
2022-02-03,PyCQA,isort,Lint,0,0.0,0.0,0.0
2022-02-03,PyCQA,isort,Test,0,0.0,0.0,0.0
2022-02-12,PyCQA,isort,Integration,0,0.0,0.0,0.0
2022-02-12,PyCQA,isort,Lint,0,0.0,0.0,0.0
2022-02-12,PyCQA,isort,Test,0,0.0,0.0,0.0
2022-03-01,PyCQA,isort,Integration,768,384.0,384.0,384.0
2022-03-01,PyCQA,isort,Lint,568,284.0,284.0,284.0
2022-03-01,PyCQA,isort,Test,1062,531.0,531.0,531.0
2022-03-12,PyCQA,isort,Integration,1306,292.0,326.5,361.0
2022-03-12,PyCQA,isort,Lint,792,129.0,198.0,267.0
2022-03-12,PyCQA,isort,Test,1490,362.0,372.5,383.0
2022-02-28,PyCQA,prospector,CI,4792,86.25,112.0,177.25
2022-02-28,PyCQA,prospector,Release,164,24.5,26.0,30.5
2022-02-25,PyCQA,prospector,CI,1796,85.0,108.0,263.0
2022-02-25,PyCQA,prospector,Release,110,55.0,55.0,55.0
2021-12-15,PyCQA,prospector,CI,200,100.0,100.0,100.0
2022-01-20,PyCQA,prospector,CodeQL,1308,654.0,654.0,654.0
2021-12-05,PyCQA,prospector,CI,518,84.75,87.0,87.75
2021-12-05,PyCQA,prospector,Release,60,30.0,30.0,30.0
2022-03-15,PyCQA,prospector,CI,2160,190.0,466.0,503.5
2021-11-25,PyCQA,prospector,CodeQL,708,354.0,354.0,354.0
2021-12-17,PyCQA,prospector,CI,274,137.0,137.0,137.0
2021-12-23,PyCQA,prospector,CI,944,97.75,119.0,139.25
2021-12-23,PyCQA,prospector,CodeQL,566,283.0,283.0,283.0
2022-03-17,PyCQA,prospector,CI,168,84.0,84.0,84.0
2022-03-17,PyCQA,prospector,CodeQL,1044,522.0,522.0,522.0
2021-12-02,PyCQA,prospector,CodeQL,642,321.0,321.0,321.0
2021-12-08,PyCQA,prospector,CI,860,100.75,102.0,108.75
2021-12-08,PyCQA,prospector,Release,74,37.0,37.0,37.0
2022-01-27,PyCQA,prospector,CodeQL,1202,601.0,601.0,601.0
2022-03-05,PyCQA,prospector,CI,174,87.0,87.0,87.0
2022-03-03,PyCQA,prospector,CodeQL,954,477.0,477.0,477.0
2022-02-24,PyCQA,prospector,CodeQL,1316,658.0,658.0,658.0
2022-03-09,PyCQA,prospector,CI,2238,107.0,155.0,693.5
2022-01-17,PyCQA,prospector,CI,2816,114.25,255.0,270.0
2022-01-17,PyCQA,prospector,Release,52,26.0,26.0,26.0
2021-11-18,PyCQA,prospector,CodeQL,816,408.0,408.0,408.0
2021-12-16,PyCQA,prospector,CodeQL,642,321.0,321.0,321.0
2021-12-27,PyCQA,prospector,CI,1666,366.0,416.5,467.0
2022-01-03,PyCQA,prospector,CI,206,103.0,103.0,103.0
2022-01-06,PyCQA,prospector,CodeQL,662,331.0,331.0,331.0
2021-11-22,PyCQA,prospector,CI,3058,468.75,504.0,552.0
2022-01-19,PyCQA,prospector,CI,222,111.0,111.0,111.0
2021-12-06,PyCQA,prospector,CI,2226,290.0,368.0,452.75
2022-01-13,PyCQA,prospector,CodeQL,1072,536.0,536.0,536.0
2022-03-04,PyCQA,prospector,CI,1544,92.75,96.0,98.75
2022-03-04,PyCQA,prospector,Release,62,31.0,31.0,31.0
2021-12-09,PyCQA,prospector,CodeQL,632,316.0,316.0,316.0
2021-12-18,PyCQA,prospector,CI,168,84.0,84.0,84.0
2022-02-26,PyCQA,prospector,CI,4784,69.5,71.5,84.75
2022-02-26,PyCQA,prospector,Release,58,29.0,29.0,29.0
2022-02-10,PyCQA,prospector,CodeQL,1224,612.0,612.0,612.0
2022-02-01,PyCQA,prospector,CI,588,294.0,294.0,294.0
2022-02-27,PyCQA,prospector,CI,5118,69.0,73.5,78.75
2022-02-27,PyCQA,prospector,Release,52,26.0,26.0,26.0
2021-12-30,PyCQA,prospector,CodeQL,614,307.0,307.0,307.0
2021-11-30,PyCQA,prospector,CI,3520,122.5,141.5,150.5
2021-11-30,PyCQA,prospector,Release,126,30.0,31.5,33.0
2022-03-10,PyCQA,prospector,CI,694,98.0,104.0,136.25
2022-03-10,PyCQA,prospector,CodeQL,1248,624.0,624.0,624.0
2022-02-20,PyCQA,prospector,CI,5532,2766.0,2766.0,2766.0
2022-03-11,PyCQA,prospector,CI,1210,96.0,111.0,113.0
2021-12-28,PyCQA,prospector,CI,632,316.0,316.0,316.0
2022-03-13,PyCQA,prospector,CI,850,112.75,148.0,169.0
2022-03-13,PyCQA,prospector,Release,56,28.0,28.0,28.0
2022-03-07,PyCQA,prospector,CI,1988,399.0,497.0,595.0
2021-12-22,PyCQA,prospector,CI,526,103.0,131.5,160.0
2022-02-03,PyCQA,prospector,CodeQL,1174,587.0,587.0,587.0
2022-03-02,PyCQA,prospector,CI,686,86.0,98.0,146.75
2022-03-01,PyCQA,prospector,CI,970,87.0,89.0,90.0
2022-03-01,PyCQA,prospector,Release,58,29.0,29.0,29.0
2022-03-08,PyCQA,prospector,CI,218,109.0,109.0,109.0
2022-01-31,PyCQA,prospector,CI,8952,1055.75,1111.5,1174.75
